,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
IP68/IP69 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant,,"Android 15, Realme UI 6.0",No,,Mediatek Dimensity 7300 Energy (4 nm),,"Coming soon. Exp. release 2025, January 23",Panorama,,,,,,,,,,No,"45W wired, 50% in 36 min","1, 3, 5, 8, 28, 40, 41",,,,About 280 EUR,,"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS2 MP, f/2.4, (depth)","16 MP, f/2.4, 24mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,1080 x 2392 pixels (~388 ppi density),,"2025, January 16",GSM / HSPA / LTE / 5G,,,Mali-G615 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-14pro.jpg,"6.77 inches, 110.9 cm2(~90.9% screen-to-body ratio)",Realme 14 Pro,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS",,Si/C Li-Ion 6000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,No,,,162.8 x 74.9 x 7.6 mm or 7.8 mm,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,RMX5056,,"Yes, with stereo speakers","5.4, A2DP, LE",,,179 g or 182 g (6.31 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","HSPA, LTE, 5G",Yes (market/region dependent),,,Realme,,,,"Pearl White, Jaipur Pink, Suede Grey","OLED, 1B colors, 120Hz, 1400 nits (HBM), 4500 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"1, 3, 5, 8, 28, 34, 38, 39, 40, 41 - China",,"Android 15, Realme UI 6.0",No,-25.5 LUFS (Very good),Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),,"Available. Released 2025, January 09",Panorama,,,,,,,,,,No,"80W wired, 50% in 24 min","1, 3, 5, 8, 28, 40, 41 - India",,,,About 340 EUR,,,"32 MP, f/2.0, 21mm (wide), 1/2.74"", 0.8µm, AF",GSM 850 / 900 / 1800 / 1900,1272 x 2800 pixels (~450 ppi density),,"2025, January 09",GSM / HSPA / LTE / 5G,"1, 5, 8, 28, 41, 77, 78 SA/NSA - China",,Adreno 710 (940 MHz),Active use score 9:53h,https://fdn2.gsmarena.com/vv/bigpic/realme-14pro-plus.jpg,"6.83 inches, 113.3 cm2(~89.7% screen-to-body ratio)",Realme 14 Pro+,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - India","GPS, GLONASS, GALILEO, BDS, QZSS",,Si/C Li-Ion 6000 mAh,,"Color spectrum sensor, Triple-LED flash, HDR, panorama",Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),,IP68/IP69 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliantGJB 150.18A certified (China only),Nano-SIM + Nano-SIM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS50 MP, f/2.7, 73mm, (periscope telephoto), 1/1.95"", 0.8µm, multi-directional PDAF, OIS, 3x optical zoom8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",,,No,Corning Gorilla Glass 7i,,163.5 x 77.3 x 8 mm or 8.3 mm,,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,RMX5051,,"Yes, with stereo speakers","5.2, A2DP, LE",,,194 g or 196 g (6.84 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","HSPA, LTE, 5G",Yes (market/region dependent),,,Realme,,,,"Pearl White, Suede Gray, Bikaner Purple","OLED, 1B colors, 120Hz, 1200 nits (HBM), 1500 nits (peak)",,HSDPA 850 / 900 / 2100,"4K@30fps, 1080p@30fps, gyro-EIS",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
IP68/IP69 dust/water resistant (up to 2m for 30 min)MIL-STD-810H compliant** does not guarantee ruggedness or use in extreme conditions,"8 MP, (wide)","Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, December 22",,"₹ 15,986",,,,,,,,,No,45W wired5W reverse wired,"1, 3, 5, 8, 28, 40, 41",,,,"₹ 14,919",,,"50 MP, f/1.8, 27mm (wide), 1/2.88"", 0.61µm, PDAF",GSM 850 / 900 / 1800 / 1900,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,"2024, December 18",GSM / HSPA / LTE / 5G,24-bit/192kHz Hi-Res audio,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v60-pro.jpg,"6.67 inches, 107.2 cm2(~84.9% screen-to-body ratio)",Realme 14x,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, QZSS, BDS","₹ 14,919",6000 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in),,"128GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.3, A2DP, LE",,,197 g (6.95 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Crystal Black, Golden Glow, Jewel Red","IPS LCD, 120Hz, 625 nits",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
IP68/IP69 dust/water resistant (up to 1.5m for 30 min),,"Android 15, Realme UI 6.0",No,,Mediatek Dimensity 9300+ (4 nm),,"Available. Released 2024, December 11",Panorama,,,,,,,,,,No,80W wired,"1, 3, 4, 5, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66",,,,About 280 EUR,24-bit/192kHz Hi-Res audio,"50 MP, f/1.9, 26mm (wide), 1/1.95"", PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","16 MP, f/2.4, 23mm (wide)",GSM 850 / 900 / 1800 / 1900,1264 x 2780 pixels (~450 ppi density),,"2024, December 11",GSM / HSPA / LTE / 5G,HDR image support,,Immortalis-G720 MC12,,https://fdn2.gsmarena.com/vv/bigpic/realme-neo7.jpg,"6.78 inches, 111.7 cm2(~90.0% screen-to-body ratio)",Realme Neo7,,,,"1, 3, 5, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",,Si/C Li-Ion 7000 mAh,,"Color spectrum sensor, LED flash, HDR, panorama",Octa-core (1x3.4 GHz Cortex-X4 & 3x2.85 GHz Cortex-X4 & 4x2.0 GHz Cortex-A720),,UFS 4.0,Nano-SIM + Nano-SIM,,Yes,,No,Crystal Armor glass,,162.6 x 76.4 x 8.6 mm (6.40 x 3.01 x 0.34 in),,"256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",USB Type-C 2.0,RMX5060,,"Yes, with stereo speakers","5.4, A2DP, LE",,,213 g (7.51 oz),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","4K@30/60fps, 1080p@30/60/120fps","HSPA, LTE, 5G",Yes,,,Realme,,,,"Black, Blue, Silver","LTPO AMOLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)",,HSDPA 800 / 850 / 900 / 1700(AWS) / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
"IP54, dust and splash resistantDie-cast aluminum chassisArmorShell","5 MP, (wide)","Android 14, Realme UI",Yes,,Unisoc Tiger T612 (12 nm),,"Available. Released 2024, December 09",,,,,,,,,,,Unspecified,10W wired,"1, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41",,,,About 80 EUR,,,8 MPAuxiliary lens,GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~260 ppi density)",,"2024, December 09",GSM / HSPA / LTE,eMMC 5.1,,Mali-G57,,https://fdn2.gsmarena.com/vv/bigpic/realme-note-60x.jpg,"6.74 inches, 109.7 cm2(~85.5% screen-to-body ratio)",Realme Note 60x,,,,,"GPS, GALILEO, GLONASS, BDS",,5000 mAh,,"LED flash, panorama",Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Reinforced glass,,167.3 x 76.7 x 7.8 mm (6.59 x 3.02 x 0.31 in),,64GB 4GB RAM,USB Type-C 2.0,,,Yes,"5.0, A2DP, LE",,,187 g (6.60 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",No,,,Realme,,,,"Wilderness Green, Marble Black","IPS LCD, 90Hz, 560 nits (peak)",,HSDPA 850 / 900 / 2100,720p@30fps,,"Accelerometer, proximity, compass"
CDMA 800,"8 MP, (wide)","Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 6300 (6 nm),,"Available. Released 2024, November 28",,,,,,,,,,,No,45W wired5W reverse wired,"1, 3, 5, 7, 8, 19, 28, 34, 38, 39, 40, 41",,,,About 210 EUR,,,"50 MP, f/1.8, 27mm (wide), 1/2.88"", 0.61µm, PDAF",GSM 850 / 900 / 1800 / 1900,"720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,"2024, November 28",GSM / CDMA / HSPA / LTE / 5G,IP68/IP69 dust/water resistant (up to 2m for 30 min)GJB 150.18A certified,,Mali-G57 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-v60-pro.jpg,"6.67 inches, 107.2 cm2(~84.9% screen-to-body ratio)",Realme V60 pro,,,,"1, 5, 8, 28, 41, 77, 78 SA/NSA","GPS, GALILEO, GLONASS, QZSS, BDS",,5600 mAh,,"LED flash, HDR, panorama",Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),,24-bit/192kHz Hi-Res audio,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,165.7 x 76.2 x 8 mm (6.52 x 3.00 x 0.31 in),,"256GB 12GB RAM, 512GB 12GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.3, A2DP, LE",,,197 g (6.95 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE, 5G",No,,,Realme,,,,"Crystal Black, Golden Glow, Jewel Red","IPS LCD, 120Hz, 625 nits",,HSDPA 800 / 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, proximity, compass"
IP68/IP69 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810H compliant** does not guarantee ruggedness or use in extreme conditions,,"Android 14, Realme UI 5.0",No,,Mediatek Helio G92 Max,,"Available. Released 2024, December 01",,,,,,,,,,,Unspecified,45W wiredReverse wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,,,"50 MP, f/1.8, (wide), PDAFsecondary unspecified camera","8 MP, f/2.0, (wide)",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",,"2024, November 26",GSM / HSPA / LTE,Always-on display,,,,https://fdn2.gsmarena.com/vv/bigpic/realme-c75.jpg,"6.72 inches, 109.0 cm2(~86.3% screen-to-body ratio)",Realme C75,,,,,"GPS, GALILEO, GLONASS, QZSS, BDS",,6000 mAh,,"LED flash, HDR, panorama",Octa-core 2.0 GHz,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),ArmorShell glass,,165.7 x 76.2 x 8 mm (6.52 x 3.00 x 0.31 in),,"128GB 8GB RAM, 256GB 8GB RAM","USB Type-C 2.0, OTG",,,"Yes, with dual speakers","5.0, A2DP, LE",,,196 g (6.91 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band",1080p@30fps,"HSPA, LTE",Unspecified,,,Realme,,,,"Gold, Black","IPS LCD, 90Hz, 580 nits (typ), 690 nits (HBM)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass"
"1, 3, 4, 5, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - China",,"Android 15, Realme UI 6.0",No,-25.3 LUFS (Very good),Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),,"Available. Released 2024, November 04",Panorama,,2336 nits max brightness (measured),,,,,,,,No,"120W wired, 13 min to 50%, 37 min to 100%120W wired, 30 min to 100% - India only version","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International",,,,"€ 798.99 / $ 895.17 / ₹ 54,999",UFS 4.0,,"16 MP, f/2.5, 25mm (wide), 1/3.09"", 1.0µm",GSM 850 / 900 / 1800 / 1900,1264 x 2780 pixels (~450 ppi density),,"2024, November 04",GSM / HSPA / LTE / 5G,"1, 3, 5, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - China",,Adreno 830,Active use score 17:31h,https://fdn2.gsmarena.com/vv/bigpic/realme-gt7-pro.jpg,"6.78 inches, 111.7 cm2(~89.4% screen-to-body ratio)",Realme GT 7 Pro,,,,"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International","GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS",,Si/C Li-Ion 6500 mAh (Global)Si/C Li-Ion 5800 mAh (India only),,"Color spectrum sensor, Dual-LED flash, HDR, panorama",Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),,IP68/IP69 dust/water resistant (up to 2m for 30 min),Nano-SIM + Nano-SIM,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS50 MP, f/2.7, 73mm (telephoto), 1/1.95"", 0.8µm, multi-directional PDAF, OIS, 3x optical zoom8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm",Yes,,No,Corning Gorilla Glass 7i,,162.5 x 76.9 x 8.6 mm (6.40 x 3.03 x 0.34 in),"₹ 59,999","256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",USB Type-C,"RMX5010, RMX5011",,"Yes, with stereo speakers","5.4, A2DP, LE",,,222.8 g  (7.87 oz),"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS","HSPA, LTE, 5G","Yes, 360˚","Glass front (Gorilla Glass 7i), aluminum frame, glass back (Panda Glass)",,Realme,,€ 798.99,,"Mars Orange, Galaxy Grey, White","LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1000 nits (typ), 2000 nits (HBM), 6500 nits (peak)",AnTuTu: 2746604 (v10)GeekBench: 9509 (v6)3DMark: 6360 (Wild Life Extreme),HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,1080p@30/60fps,,"Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass"
"IP65, dust/water resistant",,"Android 14, Realme UI 5.0",Yes,,Mediatek Dimensity 7300 Energy (4 nm),,"Available. Released 2024, October 20",,"₹ 15,800",,,,,,,,,No,"45W wired, 50% in 30 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 15,800",,"50 MP, f/1.8, 27mm (wide), 1/1.95"", PDAF2 MP, f/2.4, (depth)Auxiliary lens (flicker sensor)","16 MP, f/2.4, 24mm (wide), 1/3.0""",GSM 850 / 900 / 1800 / 1900,"1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,"2024, October 15",GSM / HSPA / LTE / 5G,UFS 3.1,,Mali-G615 MC2,,https://fdn2.gsmarena.com/vv/bigpic/realme-p1-speed.jpg,"6.67 inches, 107.4 cm2(~88.9% screen-to-body ratio)",Realme P1 Speed,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5000 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,microSDXC (uses shared SIM slot),,,161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in),,"128GB 8GB RAM, 256GB 12GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.4, A2DP, LE",,,185 g (6.53 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS","HSPA, LTE, 5G",No,,,Realme,,"₹ 19,249",,"Brushed Blue, Textured Titanium","OLED, 120Hz, 600 nits (typ), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
IP65 dust/water resistant,,"Android 14, Realme UI 5.0",No,,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),,"Available. Released 2024, September 17",,"₹ 20,498",,,,,,,,,No,"80W wired, 50% in 19 min, 100% in 49 min","1, 3, 5, 8, 28, 40, 41",,,,"₹ 20,498",,"50 MP, f/1.9, 26mm (wide), 1/1.95"", PDAF, OIS8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm","32 MP, f/2.5, 21mm (wide), 1/2.74"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,"2024, September 13",GSM / HSPA / LTE / 5G,,,Adreno 710,,https://fdn2.gsmarena.com/vv/bigpic/realme-p2-pro.jpg,"6.7 inches, 108.0 cm2(~90.6% screen-to-body ratio)",Realme P2 Pro,,,,"1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA","GPS, GLONASS, GALILEO, BDS, QZSS",,5200 mAh,,"LED flash, HDR, panorama",Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),,,Nano-SIM + Nano-SIM,,,,No,,,161.3 x 73.9 x 8.2 mm (6.35 x 2.91 x 0.32 in),,"128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",USB Type-C 2.0,,,"Yes, with stereo speakers","5.2, A2DP, LE",,,180 g (6.35 oz),"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS","HSPA, LTE, 5G",No,,,Realme,,"₹ 21,999",,"Parrot Green, Eagle Grey","OLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)",,HSDPA 850 / 900 / 2100,"4K@30fps, 1080p@30fps",,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
