,CPU,Features,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,_2,_3,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Announced,Technology,_1,Clock,Brand,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,Video,Type_1,Sensors,Java
No,120 MHz ARM925T,,,Vibration; Downloadable polyphonic ringtones,"Symbian, Series 60 UI",No,Yes,,,,No,Mini-SIM,1.3 MP,95 g (3.35 oz),TI OMAP 5910,,Cancelled,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML",176 x 220 pixels (~128 ppi density),,miniSD,,,"2005, Q1",GSM,Photo editorAAC/MP3 playerSyncML,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sex2.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2",Sendo X2,,,"TFT, 65K colors",,Yes,85 cc,32MB,Proprietary,No,No,No,Yes,Removable Li-Ion battery,,
Downloadable wallpapers and animated screensavers,,,Up to 425 h,Vibration; Downloadable polyphonic ringtones,,No,No,,Predictive text inputExchangeable covers,,No,Mini-SIM,,83 g (2.93 oz),,"30 received, dialed and missed calls",Cancelled,No,,GSM 900 / 1800,WAP 2.0/xHTML,"96 x 64 pixels, 3:2 ratio",Up to 7 h,No,,,"2005, Q1",GSM,No,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/ses1.gif,,Sendo S1,"SMS, MMS",,,Yes,Yes,,,,No,No,No,,Removable Li-Ion battery,,No
5-way navigation keyDownloadable wallpapers and animated screensavers,,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,No,1.2,Yes,Predictive text input,,No,Mini-SIM,,,,"30 received, dialed and missed calls",Cancelled,No,,GSM 900 / 1800,WAP 2.0/xHTML,,Up to 7 h,No,,,"2005, Q1",GSM,No,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sek1.gif,,Sendo K1,"SMS, MMS",,65K colors,Yes,Yes,,,,No,No,No,,Removable Li-Ion battery,,No
GSM 850 / 1900 - US version,,,Up to 380 h,Vibration; Downloadable polyphonic ringtones,,No,No,Yes + downloadable,No,Photo editorPredictive text input,No,Mini-SIM,VGA,85 g (3.00 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 6 h,No,,,"2004, Q3",GSM,Downloadable wallpapers,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sep600.gif,,Sendo P600,"SMS, EMS, MMS",,"TFT, 65K colors","750 entries, Photo call",Class 8,"108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",3.7MB,,No,No,No,No,Removable Li-Ion battery,,"Yes, MIDP 2.0"
"Downloadable wallpapers, screensavers5-way navigation key",,,Up to 400 h,"Vibration; Downloadable polyphonic, monophonic ringtones",,No,No,Yes + downloadable,Photo editorPredictive text inputExchangeable covers,,No,Mini-SIM,VGA,86 g (3.03 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 2.0/xHTML,128 x 160 pixels,Up to 7 h,No,,,"2004, Q3",GSM,No,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sesv663.gif,,Sendo SV663,"SMS, EMS, MMS",,"CSTN, 65K colors","250 x 4 fields, Photo call",Class 10,"108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in)",3.3MB,,No,No,No,No,Removable Li-Ion 800 mAh battery,,"Yes, MIDP 2.0"
"Second display, inverse, 96 x 64 pixelsDownloadable wallpapers",,,Up to 400 h,"Vibration; Downloadable polyphonic, monophonic ringtones",,No,No,Yes,No,Predictive text inputOnline currency converter with live ratesCalculator,No,Mini-SIM,,77 g (2.72 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 5 h,No,,,"2004, Q1",GSM,50 preloaded images for MMS,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sem570.gif,,Sendo M570,"SMS, MMS",,"UFB, 65K colors","250 x 5 fields, contact groups",Class 8,"82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)",3.7MB,,No,No,No,,Removable Li-Ion 600 mAh battery,,Yes
GSM 850 / 1900 - US version,,,Up to 450 h,Vibration; Downloadable polyphonic ringtones,,No,No,3 + downloadable,No,Photo editorPredictive text input,No,Mini-SIM,VGA,83 g (2.93 oz),,"10 dialed, 10 received, 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio",Up to 7 h,No,,,"2004, Q1",GSM,"Downloadable wallpapers, screensavers",,Sendo,https://fdn2.gsmarena.com/vv/bigpic/ses600.gif,,Sendo S600,"SMS, EMS, MMS",,"TFT, 65K colors","250 x 3  entries, Photo call",Class 8,"108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)",3.7MB,,No,No,No,No,Removable Li-Ion battery,,"Yes, MIDP 2.0"
No,120 MHz ARM925T,LED flash,Up to 170 h,Vibration; Downloadable polyphonic ringtones,"Symbian 6.1, Series 60 v1.0 UI",No,1.1,,,,No,Mini-SIM,VGA,120 g (4.23 oz),TI OMAP 5910,,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML with SSL",176 x 220 pixels (~128 ppi density),Up to 7 h,MMC/SD,,,"2003, Q4",GSM,MP4/MP3 playerSync ML,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/sex.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~28.3% screen-to-body ratio)",Sendo X,,,"TFT, 65K colors",,Class 8,"110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in)",32MB,Proprietary,No,No,No,Yes,Removable Li-Po 1050 mAh battery,,
Downloadable wallpapers and animated screensavers,,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,No,No,"5 - Funny Farmer, Solitaire, Sumito, Tenpin, Splat+ downloadable",Predictive text inputExchangeable covers,,No,Mini-SIM,,83 g (2.93 oz),,"30 received, dialed and missed calls",Discontinued,No,,GSM 900 / 1800,WAP 2.0/xHTML,"128 x 128 pixels,, 1:1 ratio",Up to 7 h,No,,,"2004, Q4",GSM,No,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/ses360.gif,,Sendo S360,"SMS, EMS, MMS","Black, Blue","CSTN, 65K colors","250 entries, Picture call",Class 8,"108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in)",2MB,,No,No,No,,Removable Li-Ion battery,,No
Soft keysDownloadable icons,,,Up to 480 h,Vibration; Downloadable monophonic - iMelody and Nokia format ringtones,,No,No,Downloadable,No,Predictive text input,No,Mini-SIM,,81 g (2.86 oz),,"10 received, 10 dialed and 10 missed calls",Discontinued,No,,GSM 900 / 1800,WAP 1.2.1,"98 x 67 pixels, 5 lines, 3:2 ratio",Up to 7 h,No,6 preloaded languages,,"2003, Q4",GSM,20 short messages,,Sendo,https://fdn2.gsmarena.com/vv/bigpic/ses330.gif,,Sendo S330,"SMS, EMS",,"CSTN, 4096 colors",500,Class 8,"108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in)",,,No,No,No,,Removable Li-Ion battery,,No
