Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
LED flash,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),,"1, 3, 5, 8, 28, 38, 40, 41",8 MP,,,Android 13,Yes,"5.2, A2DP, LE",,,,,About 130 EUR,,Yes,,Nano-SIM + Nano-SIM,,"108 MP, f/1.6, (wide), 1/1.67"", 0.64µm, AF0.08 MP (auxiliary lens)",192 g (6.77 oz),Mediatek Helio G91 (12 nm),,"Available. Released 2024, Q4","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,microSDXC,,,"HSPA, LTE",No,,"2024, Q4","1440p@30fps, 1080p@30fps",GSM / HSPA / LTE,,,,Philips,,Mali-G52 MC2,https://fdn2.gsmarena.com/vv/bigpic/itel-s24.jpg,"6.6 inches, 104.6 cm2(~84.6% screen-to-body ratio)",Philips S7710 Omni 10,,,"Starry Black, Coastline Blue","IPS LCD, 90Hz",,,163.6 x 75.6 x 8.3 mm (6.44 x 2.98 x 0.33 in),256GB 8GB RAM,USB Type-C,,GPS,FM radio,HSDPA 850 / 900 / 2100,18W wired,,"1440p@30fps, 1080p@30fps",5000 mAh,,"Fingerprint (side-mounted), accelerometer, compass",
Dual-LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,"1, 3, 7, 8, 20, 28, 40",,,,Android 14,Yes,Yes,,,,,About 90 EUR,,Yes,,Nano-SIM + Nano-SIM,"50 MP, (wide), AF2 MP, (depth)",8 MP,-,Unisoc T606 (12 nm),,"Available. Released 2024, Q4","Wi-Fi 802.11 a/b/g/n, dual-band",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,microSDXC,,,"HSPA, LTE",No,,"2024, Q4",Yes,GSM / HSPA / LTE,,,,Philips,,Mali-G57 MP1,https://fdn2.gsmarena.com/vv/bigpic/philips-s6310-essence-20.jpg,"6.56 inches, 103.4 cm2(~83.2% screen-to-body ratio)",Philips S6310 Essence 20,,,"Black, Blue","IPS LCD, 90Hz",,,163.5 x 76 x 8.6 mm (6.44 x 2.99 x 0.34 in),"128GB 4GB RAM, 256GB 8GB RAM",USB Type-C,,GPS,Unspecified,HSDPA 900 / 2100,10W wired,CTS6310BKL/40,Yes,Li-Po 5000 mAh,,Fingerprint (side-mounted); unspecified sensors,
Ring-LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,"1, 3, 7, 8, 20, 28, 40",,,,Android 14,Yes,Yes,,,,,About 70 EUR,,Yes,,Nano-SIM + Nano-SIM,"13 MP, (wide), AF2 MP, (depth)",8 MP,-,Unisoc T606 (12 nm),,"Available. Released 2024, Q4","Wi-Fi 802.11 a/b/g/n, dual-band",,,GSM 850 / 900 / 1800 / 1900,LED flash,,"720 x 1612 pixels, 20:9 ratio (~269 ppi density)",,microSDXC,,,"HSPA, LTE",No,,"2024, Q4",Yes,GSM / HSPA / LTE,,,,Philips,,Mali-G57 MP1,https://fdn2.gsmarena.com/vv/bigpic/philips-s6210-essence-10.jpg,"6.56 inches, 103.4 cm2(~83.6% screen-to-body ratio)",Philips S6210 Essence 10,,,"Black, Blue","IPS LCD, 90Hz",,,163.6 x 75.6 x 8.6 mm (6.44 x 2.98 x 0.34 in),"64GB 3GB RAM, 128GB 3GB RAM",USB Type-C,,GPS,Unspecified,HSDPA 900 / 2100,10W wired,CTS6210BK/40,Yes,Li-Po 5000 mAh,,Fingerprint (side-mounted); unspecified sensors,
LED flash,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),,LTE,,,,Android 14,Yes,Yes,,,,,About 90 EUR,,Yes,,Nano-SIM + Nano-SIM,"48 MP, (wide), PDAF2 MP, (macro)Auxiliary lens",8 MP,-,Unisoc T606 (12 nm),,"Available. Released 2024, September","Wi-Fi 802.11 a/b/g/n, dual-band",,,GSM 850 / 900 / 1800 / 1900,,,720 x 1640 pixels (~264 ppi density),,microSDXC (uses shared SIM slot),,,"HSPA, LTE",No,,"2024, September",Yes,GSM / HSPA / LTE,,,,Philips,,Mali-G57 MP1,https://fdn2.gsmarena.com/vv/bigpic/philips-s6206.jpg,"6.79 inches, 109.5 cm2(~84.4% screen-to-body ratio)",Philips S6206,,,Black,"IPS LCD, 90Hz",,,169.5 x 76.5 x 8.5 mm (6.67 x 3.01 x 0.33 in),"128GB 6GB RAM, 256GB 8GB RAM",USB Type-C,,GPS,Unspecified,HSDPA 850 / 900 / 1900 / 2100,,CTS6206BKM/85,Yes,Li-Po 4920 mAh,,Fingerprint (side-mounted); unspecified sensors,
LED flash,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),CDMA 800,LTE,,,,"Android OS, HMS (Huawei Mobile Services)",Yes,"4.2, A2DP",,,,eMMC 5.1,About 110 EUR,,Yes,,Nano-SIM + Nano-SIM,"13 MP, (wide), AF2 MP",5 MP,170 g (6.00 oz),Unisoc Tiger T310 (12 nm),,"Available. Released 2021, December 13","Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,microSDXC,,,"HSPA, LTE",No,"Glass front, glass back, plastic frame","2021, December 08",,GSM / CDMA / HSPA / CDMA2000 / LTE,CDMA2000 1x,,,Philips,,PowerVR GE8300,https://fdn2.gsmarena.com/vv/bigpic/philips-ph2.jpg,"6.21 inches, 96.3 cm2(~81.8% screen-to-body ratio)",Philips PH2,,,"Black, Blue, Gold",IPS LCD,,,156.2 x 75.3 x 9 mm (6.15 x 2.96 x 0.35 in),128GB 4GB RAM,USB Type-C 2.0,,"GPS, BDS",Unspecified,HSDPA 850 / 900 / 2100,,S702,1080p@30fps,Li-Ion 3900 mAh,,"Fingerprint (side-mounted), accelerometer, proximity",
LED flash,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),CDMA 800,"1, 3, 5, 8, 34, 38, 39, 40, 41",,,,Android OS,Yes,"4.2, A2DP",,,,eMMC 5.1,About 70 EUR,,Yes,,Nano-SIM + Nano-SIM,"13 MP, (wide), AF3 MP",5 MP,194 g (6.84 oz),Unisoc Tiger T310 (12 nm),,"Available. Released 2021, December 20","Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900,,,"720 x 1440 pixels, 18:9 ratio (~247 ppi density)",,microSDXC,,,"HSPA, LTE",No,"Glass front, plastic back, plastic frame","2021, December 20",,GSM / CDMA / HSPA / CDMA2000 / LTE,CDMA2000 1x,,,Philips,,PowerVR GE8300,https://fdn2.gsmarena.com/vv/bigpic/philips-ph1.jpg,"6.51 inches, 109.4 cm2(~86.4% screen-to-body ratio)",Philips PH1,,,"Gray, Blue, Red",IPS LCD,,,165.5 x 76.5 x 9.5 mm (6.52 x 3.01 x 0.37 in),"32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",USB Type-C 2.0,,"GPS, BDS",Unspecified,HSDPA 850 / 900 / 2100,,"S701, Xenium S701",1080p@30fps,Li-Ion 4700 mAh,,"Accelerometer, proximity",
LED flash,Quad-core 1.3 GHz,,,VGA,Up to 480 h (3G),,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",152 g (5.36 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",Up to 6 h 40 min (3G),microSDHC (dedicated slot),,,HSPA 21.1/5.76 Mbps,No,,"2015, October. Released 2015, November",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg,"5.0 inches, 68.9 cm2(~65.6% screen-to-body ratio)",Philips S337,,,Black,"TFT, 256K colors",,,144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 2000 mAh, removable",,"Accelerometer, proximity",
LED flash,Dual-core 1.0 GHz,,,VGA,Up to 500 h (3G),,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,"Dual SIM (Mini-SIM, dual stand-by)",,"5 MP, AF",127 g (4.48 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 9 h 30 min (3G),microSDHC (dedicated slot),,,HSPA 21.1/5.76 Mbps,No,,"2015, July. Released 2015, July",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg,"4.0 inches, 45.5 cm2(~55.2% screen-to-body ratio)",Philips S309,,,"Black, Red","TFT, 256K colors",,,127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 1600 mAh, removable",,"Accelerometer, proximity",
LED flash,Octa-core 1.3 GHz,,"38, 39, 40, 41",5 MP,,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM,,"13 MP, AF",164 g (5.78 oz),,,Discontinued,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,microSDHC (dedicated slot),,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",No,,"2015, December. Released 2015, December",,GSM / HSPA / LTE,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v787.jpg,"5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)",Philips V787,,,Black,IPS LCD,,,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Ion 5000 mAh, non-removable",,"Accelerometer, proximity, compass",
LED flash,Quad-core 1.3 GHz,,,Yes,Up to 1100 h,,Android 5.1 (Lollipop),Yes,"4.0, A2DP",,,,,,,Yes,,Dual SIM,,"5 MP, AF",190 g (6.70 oz),,,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 29 h,microSDHC (dedicated slot),,,HSPA 42.2/11.5 Mbps,No,,"2015, December. Released 2015, December",,GSM / HSPA,,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-v377.jpg,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Philips V377,,,Black,IPS LCD,,,145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,Yes,"Li-Ion 5000 mAh, non-removable",,"Accelerometer, proximity",
