Features,CPU,,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Price,3.5mm jack,SIM,Single,Weight,Chipset,Status,WLAN,2G bands,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Colors,Type,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors
Dual-LED flash,Octa-core 1.7 GHz Cortex-A7,,5 MP,Up to 545 h,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,Yes,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","13 MP, AF",129 g (4.55 oz),Mediatek MT6592 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 34 h,No,HSPA 21.1/5.76 Mbps,No,2014. Released 2014,,GSM / HSPA,,Prestigio,Asahi Dragontrail Glass,Mali-450MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg,"5.0 inches, 68.9 cm2(~68.3% screen-to-body ratio)",Prestigio MultiPhone 5508 Duo,Up to 77 h,Black/metal,IPS LCD,,142.5 x 70.8 x 8.3 mm (5.61 x 2.79 x 0.33 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 2300 mAh, non-removable","Accelerometer, gyro, proximity, compass"
LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 696 h,Android 4.4.2 (KitKat),Yes,"4.0, A2DP",,Yes,"Dual SIM (Mini-SIM, dual stand-by)","8 MP, AF",160 g (5.64 oz),Mediatek MT6582M (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",Up to 27 h,microSDHC,HSPA 21.1/5.76 Mbps,No,2014. Released 2014,,GSM / HSPA,,Prestigio,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",Prestigio MultiPhone 5504 Duo,Up to 78 h,"Black, metal, white",IPS LCD,,147.1 x 72.5 x 8.5 mm (5.79 x 2.85 x 0.33 in),8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 1950 mAh, removable","Accelerometer, proximity"
LED flash,Quad-core 1.3 GHz Cortex-A7,,2 MP,Up to 1300 h,Android 4.2 (Jelly Bean),Yes,3.0,,Yes,"Dual SIM (Mini-SIM, dual stand-by)",8 MP,170 g (6.00 oz),Mediatek MT6582 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"540 x 960 pixels, 16:9 ratio (~220 ppi density)",Up to 47 h,microSDHC,HSPA 21.1/5.76 Mbps,No,2014. Released 2014,,GSM / HSPA,,Prestigio,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg,"5.0 inches, 68.9 cm2(~65.3% screen-to-body ratio)",Prestigio MultiPhone 5503 Duo,Up to 146 h,Black,IPS LCD,,144 x 73.3 x 10.9 mm (5.67 x 2.89 x 0.43 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 4000 mAh, removable",Accelerometer
"LED flash, panorama",Quad-core 1.2 GHz Cortex-A7,eMMC 4.5,2 MP,Up to 984 h,Microsoft Windows Phone 8.1,Yes,"4.0, A2DP",About 170 EUR,Yes,Dual SIM,"8 MP, AF",-,Qualcomm MSM8212 Snapdragon 200 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Up to 57 h,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, August",,GSM / HSPA,,Prestigio,Corning Gorilla Glass,Adreno 302,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg,"5.0 inches, 68.9 cm2",Prestigio MultiPhone 8500 Duo,Up to 176 h,"Black, White",IPS LCD,,8.5 mm thickness,8GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Ion 2000 mAh, removable","Accelerometer, proximity"
"LED flash, panorama",Quad-core 1.2 GHz Cortex-A7,eMMC 4.5,VGA,Up to 456 h,Microsoft Windows Phone 8.1,Yes,"4.0, A2DP",About 90 EUR,Yes,Dual SIM,"8 MP, AF",-,Qualcomm MSM8212 Snapdragon 200 (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",Up to 29 h,microSDHC,HSPA 21.1/5.76 Mbps,No,"2014, July. Released 2014, August",,GSM / HSPA,,Prestigio,,Adreno 302,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg,"4.0 inches, 45.5 cm2",Prestigio MultiPhone 8400 Duo,Up to 75 h,"Black, White",IPS LCD,,11 mm thickness,4GB 512MB RAM,microUSB 2.0,,GPS,No,HSDPA 900 / 2100,Yes,"Li-Ion 2000 mAh, removable","Accelerometer, proximity"
,Quad-core 1.6 GHz Cortex-A9,HDMI port,VGA,Up to 336 h,Android 4.2 (Jelly Bean),"Yes, with stereo speakers",3.0,About 220 EUR,Yes,Micro-SIM,2 MP,612 g (1.35 lb),Rockchip RK3188,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",Up to 8 h 30 min,microSDHC (dedicated slot),HSPA 7.2/5.76 Mbps,No,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,"10.1 inches, 295.8 cm2(~66.9% screen-to-body ratio)",Prestigio MultiPad 4 Quantum 10.1 3G,Up to 32 h,Black/Deep Blue,IPS LCD,,260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in),16GB 1GB RAM,"microUSB 2.0, OTG",,No,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 7000 mAh, non-removable",Accelerometer
,Quad-core 1.6 GHz Cortex-A9,HDMI port,2 MP,,Android 4.2 (Jelly Bean),"Yes, with stereo speakers","4.0, A2DP",About 200 EUR,Yes,No,5 MP,621 g (1.37 lb),Rockchip RK3188,Discontinued,Wi-Fi 802.11 b/g/n,N/A,"1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",,microSDHC (dedicated slot),,No,"2014, Q1. Released 2014, Q1",,No cellular connectivity,,Prestigio,,Mali-400MP4,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg,"9.7 inches, 291.4 cm2(~65.2% screen-to-body ratio)",Prestigio MultiPad 4 Quantum 9.7 Colombia,,Black/Deep Blue,IPS LCD,No,241.5 x 185 x 9.2 mm (9.51 x 7.28 x 0.36 in),16GB 2GB RAM,"microUSB 2.0, OTG",No,No,No,,Yes,"Li-Po 8000 mAh, non-removable",Accelerometer
,Quad-core 1.2 GHz Cortex-A7,,2 MP,Up to 510 h,Android 4.2 (Jelly Bean),"Yes, with stereo speakers","4.0, LE",About 190 EUR,Yes,Micro-SIM,5 MP,450 g (0.99 lb),Mediatek MT8389,Discontinued,"Wi-Fi 802.11 b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900,"768 x 1024 pixels, 4:3 ratio (~160 ppi density)",Up to 6 h,microSDHC (dedicated slot),HSPA 21.1/11.5 Mbps,No,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,PowerVR SGX544,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg,"8.0 inches, 198.2 cm2(~61.7% screen-to-body ratio)",Prestigio MultiPad 4 Ultra Quad 8.0 3G,Up to 10 h,"Black, White",IPS LCD,,204.3 x 157.2 x 9.8 mm (8.04 x 6.19 x 0.39 in),16GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 4600 mAh, non-removable",Accelerometer
LED flash,Quad-core 1.5 GHz,,8 MP,Up to 414 h,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",About 270 EUR,Yes,Dual SIM,"13 MP, AF",191 g (6.74 oz),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 900 / 1800 - SIM 1 & SIM 2,"720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Up to 14 h,microSDHC,HSPA,Yes,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg,"6.0 inches, 99.2 cm2(~70.6% screen-to-body ratio)",Prestigio MultiPhone 7600 Duo,Up to 33 h,Black,IPS LCD,,166.5 x 84.4 x 8.4 mm (6.56 x 3.32 x 0.33 in),4GB 1GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2600 mAh, removable","Accelerometer, gyro, proximity, compass"
LED flash,Quad-core 1.5 GHz Cortex-A7,,8 MP,,Android 4.2 (Jelly Bean),Yes,"4.0, A2DP",About 280 EUR,Yes,Micro-SIM,"13 MP, AF",146 g (5.15 oz),Mediatek MT6589T (28 nm),Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",GSM 900 / 1800 / 1900,"1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,microSDHC (dedicated slot),HSPA,Yes,"2014, Q1. Released 2014, Q1",,GSM / HSPA,,Prestigio,,PowerVR SGX544MP2,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg,"5.0 inches, 68.9 cm2(~67.9% screen-to-body ratio)",Prestigio MultiPhone 7500,,"Black, White",IPS LCD,,144 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),"16GB 1GB RAM, 32GB 2GB RAM",microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,Yes,"Li-Po 2300 mAh, non-removable","Accelerometer, gyro, proximity, compass"
