,CPU,Features,4G bands,Single_1,Stand-by,OS,Loudspeaker,Bluetooth,Games,Price,3.5mm jack,SIM,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,2G bands,Features_1,Resolution,Talk time,Card slot,Speed,NFC,Announced,Video_1,Technology,_1,Brand,Protection,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,Sensors,Java
eMMC 5.1,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"LED flash, panorama, HDR","1, 3, 5, 40, 41","16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm",,"Android 7 (Nougat), Amigo OS 4",Yes,"4.0, A2DP",,About 27500 INR,Yes,Nano-SIM + Micro-SIM,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",182 g (6.42 oz),Mediatek MT6755 Helio P10 (28 nm),,Discontinued,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (uses shared SIM slot),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"2017, June. Released 2017, July",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass (unspecified version),Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg,"5.5 inches, 83.4 cm2(~70.6% screen-to-body ratio)",QMobile Noir A1,,"Black, Gray, Gold",IPS LCD,,,154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),64GB 4GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 900 / 1900 / 2100,10W wired,Noir A1,1080p@30fps,"Li-Ion 4010 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
eMMC 5.1,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"LED flash, HDR, panorama","3, 5","8 MP, f/2.2",,Android 7.0 (Nougat),Yes,"4.0, A2DP",,About 15500 INR,Yes,Hybrid Dual SIM,"13 MP, f/2.2, AF",-,Mediatek MT6755 Helio P10 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,microSDXC (uses shared SIM slot),"HSPA, LTE",No,"2017, June. Released 2017, June",,GSM / HSPA / LTE,,QMobile,,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg,"5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)",QMobile Noir E2,,Gold,IPS LCD,,,148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 2100,,E2 Noir,1080p@30fps,"Li-Po 4000 mAh, removable","Fingerprint (front-mounted), accelerometer, proximity, compass",
eMMC 5.0,Quad-core 1.4 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 40, 41",8 MP,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,About 18000 INR,Yes,"Hybrid Dual SIM (Micro-SIM, dual stand-by)","13 MP, PDAF",175 g (6.17 oz),Mediatek MT6737T (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC (uses shared SIM slot),"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2017, May. Released 2017, May",,GSM / HSPA / LTE,,QMobile,Corning Gorilla Glass 3,Mali-T720,https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg,"5.5 inches, 83.4 cm2(~70.7% screen-to-body ratio)",QMobile J7 Pro,,"Gold, Blue",IPS LCD,,,154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in),32GB 3GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 1700(AWS) / 1900 / 2100,,,1080p@30fps,"Li-Po 3150 mAh, non-removable","Accelerometer, proximity, compass",
eMMC 5.1,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"LED flash, panorama, HDR","3, 5, 40","8 MP, f/2.2, 1/4.0"", 1.12µm",,"Android 6.0 (Marshmallow), Amigo 3.5",Yes,"4.0, A2DP",,About 29500 INR,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF",180 g (6.35 oz),Mediatek MT6755 Helio P10 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,microSDXC (dedicated slot),"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"2017, March. Released 2017, March",,GSM / HSPA / LTE,,QMobile,,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg,"5.5 inches, 83.4 cm2(~72.7% screen-to-body ratio)",QMobile M6,,"Gold, Coffee",AMOLED,,,152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),64GB 4GB RAM,"microUSB 2.0, OTG",,GPS,"FM radio, recording",HSDPA 900 / 1900 / 2100,10W wiredReverse wired,,1080p@30fps,"Li-Po 5000 mAh, non-removable","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",
eMMC 5.0,Quad-core 1.3 GHz Cortex-A53,"LED flash, HDR, panorama","3, 5, 40","5 MP, f/2.2",,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,About 16500 INR,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, f/2.2, AF",184 g (6.49 oz),Mediatek MT6737 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),"HSPA, LTE",No,"2017, March. Released 2017, March",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg,"5.0 inches, 68.9 cm2(~67.4% screen-to-body ratio)",QMobile M6 Lite,,Gold,IPS LCD,,,144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,M6 Lite,1080p@30fps,"Li-Po 4000 mAh, removable","Accelerometer, proximity, compass",
eMMC 5.1,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"LED flash, HDR, panorama","1, 3, 5, 7, 20, 38, 39, 40, 41",5 MP,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,About 18500 INR,Yes,"Dual SIM (Micro-SIM, dual stand-by)","13 MP, AF",162 g (5.71 oz),Mediatek MT6750 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~277 ppi density)",,microSDXC,"HSPA, LTE",No,"2017, January. Released 2017, January",,GSM / HSPA / LTE,,QMobile,,Mali-T860MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg,"5.3 inches, 77.4 cm2(~71.0% screen-to-body ratio)",QMobile King Kong Max,,Gold,IPS LCD,,,149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in),32GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,,1080p@30fps,"Li-Po 4000 mAh, non-removable","Accelerometer, gyro, proximity, compass",
,Quad-core 1.3 GHz Cortex-7,"LED flash, panorama, HDR",,"5 MP, f/2.4",,"Android 6 (Marshmallow), Amigo 3",Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, f/2.2, 1/4.0"", AF",179 g (6.31 oz),Mediatek MT6580M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),HSPA 21.1/5.76 Mbps,No,"2017, February. Released 2017, February",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg,"5.0 inches, 68.9 cm2(~66.7% screen-to-body ratio)",QMobile M350 Pro,,"Black, Gold, White",IPS LCD,,,145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 2100,,"M350, M350 Pro",1080p@30fps,"Li-Ion 5000 mAh, non-removable","Accelerometer, gyro, proximity",
,Quad-core 1.3 GHz Cortex-7,"LED flash, HDR, panorama",,5 MP,,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, f/2.0, AF",184 g (6.49 oz),Mediatek MT6580M (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC (dedicated slot),HSPA,No,"2017, February. Released 2017, February",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg,"5.0 inches, 68.9 cm2(~66.0% screen-to-body ratio)",QMobile Energy X2,,"Gold, Silver, Gray",IPS LCD,,,143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in),16GB 2GB RAM,"microUSB 2.0, OTG",,GPS,FM radio,HSDPA 850 / 2100,,ENERGY X2,1080p@30fps,"Li-Ion 5000 mAh, non-removable","Accelerometer, proximity",
,Quad-core 1.0 GHz Cortex-A53,LED flash,"3, 5","5 MP, f/2.4",,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,Yes,"Dual SIM (Micro-SIM, dual stand-by)","8 MP, f/2.2, AF",-,Mediatek MT6735P (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,microSDXC,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",No,"2017, January. Released 2017, January",,GSM / HSPA / LTE,,QMobile,,Mali-T720MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg,"5.0 inches, 68.9 cm2(~66.6% screen-to-body ratio)",QMobile E1,,"Black, Gold",IPS LCD,,,143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),16GB 3GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 850 / 2100,,E1,1080p@30fps,"Li-Po 4000 mAh, removable","Accelerometer, proximity, compass",
,Quad-core 1.3 GHz Cortex-A7,"LED flash, panorama, HDR",,"5 MP, f/2.0",,Android 6.0 (Marshmallow),Yes,"4.0, A2DP",,,Yes,Dual SIM,"8 MP, f/2.0, 1/4.0"", AF",150 g (5.29 oz),Mediatek MT6580 (28 nm),,Discontinued,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct",,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,microSDXC,HSPA 21.1/5.76 Mbps,No,"2016, June. Released 2016, June",,GSM / HSPA,,QMobile,,Mali-400MP2,https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg,"5.5 inches, 83.4 cm2(~79.7% screen-to-body ratio)",QMobile Noir S6 Plus,,Gold,IPS LCD,,,144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in),16GB 2GB RAM,microUSB 2.0,,GPS,FM radio,HSDPA 900 / 2100,,"S6, S6S, S6 PLUS",1080p@30fps,"Li-Po 2500 mAh, removable","Fingerprint (rear-mounted), accelerometer, proximity",
