,CPU,Features,Single_1,Alert types,Stand-by,OS,Loudspeaker,Bluetooth,_2,Price,_3,Keyboard,3.5mm jack,SIM,Single,Weight,Chipset,Status,WLAN,Infrared port,2G bands,Browser,Resolution,Talk time,Card slot,Languages,Speed,Announced,Video_1,Technology,_1,Brand,Model Image,Size,Model Name,Colors,Type,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors
Handwriting recognition,400 MHz Samsung,LED flash,QCIF videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 300 h,Microsoft Windows Mobile 5.0 PocketPC,Yes,2.0,,,,QWERTY,No,Mini-SIM,2 MP,176 g (6.21 oz),,Discontinued,Wi-Fi 802.11b/g,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,microSD (dedicated slot),,"Yes, 384 kbps","2006, June",,GSM / UMTS,Pocket OfficeVoice memoMP3/AAC player,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-9600.gif,"2.8 inches, 42 x 57 mm, 24.3 cm2(~37.0% screen-to-body ratio)",Qtek 9600,Silver,"TFT resistive touchscreen, 65K colors",,113 x 58 x 22 mm (4.45 x 2.28 x 0.87 in),"64MB RAM, 128MB ROM",1.1,,No,No,UMTS 850 / 1900 / 2100,Yes,Removable Li-Po 1350 mAh battery,
5-way navigation button,Samsung 2442 300 MHz,,Yes,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",,Microsoft Windows Mobile 5.0 Smartphone,Yes,Yes,,,,,No,Mini-SIM,1.3 MP,120 g (4.23 oz),,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,microSD (dedicated slot),,"Yes, 384 kbps","2006, June",,GSM / UMTS,MP3/AAC playerPredictive text inputOrganizer,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8600.gif,"2.2 inches, 34 x 45 mm, 15.0 cm2(~29.0% screen-to-body ratio)",Qtek 8600,,"TFT, 65K colors",,112.4 x 46 x 14.8 mm (4.43 x 1.81 x 0.58 in),"64MB RAM, 128MB ROM",Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Po 1190 mAh battery,
5-way navigation button,200 MHz ARM926EJ-S,LED flash,,,,Microsoft Windows Mobile 5.0 PocketPC,Yes,1.2,MP3/AAC playerPredictive text inputOrganizerVoice memo,,,QWERTY,No,Mini-SIM,1.3 MP,168 g (5.93 oz),TI OMAP 850,Discontinued,Wi-Fi 802.11 b/i,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,miniSD,,,"2006, March",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-a9100.jpg,"2.8 inches, 24.3 cm2(~38.8% screen-to-body ratio)",Qtek A9100,Gray,"TFT resistive touchscreen, 65K colors",Class 10,108 x 58 x 23.7 mm (4.25 x 2.28 x 0.93 in),"64MB RAM, 128MB ROM",miniUSB,Class 10,No,No,,No,Removable Li-Po 1250 mAh battery,
"Second external 1.2-inch TFT display, 65K colors (128 x 128 pixels)",200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones",,Microsoft Windows Mobile 5.0 Smartphone,Yes,1.2,Pocket OfficeVoice memoMP3/AAC playerPredictive text input,About 190 EUR,,,No,Mini-SIM,1.3 MP,99 g (3.49 oz),TI OMAP 850,Discontinued,No,,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,microSD (dedicated slot),,,"2006, February",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8500.gif,"2.2 inches, 34 x 45 mm, 15.0 cm2(~29.6% screen-to-body ratio)",Qtek 8500,Stylish black,"TFT, 65K colors",Class 10,98.5 x 51.4 x 15.8 mm (3.88 x 2.02 x 0.62 in),"64MB RAM, 64MB ROM",1.1,Class 10,No,No,,Yes,Removable Li-Ion 750 mAh battery,
Handwriting recognition,200 MHz ARM926EJ-S,,,Vibration; Downloadable polyphonic ringtones,Up to 200 h,Microsoft Windows Mobile 5.0 PocketPC,Yes,2.0,2.5 mm audio jack,About 250 EUR,Pocket OfficeVoice memoMP3/AAC player,,No,Mini-SIM,2 MP,150 g (5.29 oz),TI OMAP 850,Discontinued,Wi-Fi 802.11b,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 5 h,SD/MMC,,,"2005, Q4",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-s200.gif,"2.8 inches, 42 x 57 mm, 24.3 cm2(~37.6% screen-to-body ratio)",Qtek S200,Stylish black,"TFT resistive touchscreen, 65K colors",Class 10,108.8 x 59.3 x 18.4 mm (4.28 x 2.33 x 0.72 in),"64MB RAM, 128MB ROM",miniUSB,Class 10,No,No,,CIF,Removable Li-Ion 1200 mAh battery,
Handwriting recognition,Intel XScale 520 MHz,,VGA videocall camera,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",Up to 260 h,Microsoft Windows Mobile 5.0 PocketPC,"Yes, with stereo speakers",Yes,Pocket OfficeVoice memoMP3/AAC playerPredictive text input,About 560 EUR,,QWERTY,No,Mini-SIM,1.3 MP,285 g (10.05 oz),,Discontinued,Wi-Fi 802.11b,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","640 x 480 pixels, 4:3 ratio (~222 ppi density)",Up to 8 h,SDIO/MMC,,"Yes, 384 kbps","2005, August",,GSM / UMTS,Dual speakers,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-9000.gif,"3.6 inches, 73 x 55 mm, 40.1 cm2(~38.8% screen-to-body ratio)",Qtek 9000,Stylish black,"TFT resistive touchscreen, 65K colors",,131 x 79 x 21 mm (5.16 x 3.11 x 0.83 in),64MB RAM,Proprietary,,No,No,UMTS 2100,Yes,Removable Li-Po 1620 mAh battery,
5-way navigation button,200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",Up to 250 h,Microsoft Windows Mobile 5.0 Smartphone,Yes,Yes,2.5 mm audio jack,,MP3/AAC playerPredictive text inputOrganizer,,No,Mini-SIM,1.3 MP,106 g (3.74 oz),TI OMAP 850,Discontinued,Wi-Fi 802.11b,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 5 h,MiniSD,,,"2005, August",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8310.gif,"2.2 inches, 34 x 45 mm, 15.0 cm2(~30.3% screen-to-body ratio)",Qtek 8310,,"TFT, 65K colors",Class 10,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),"64MB RAM, 64/128MB ROM",Proprietary,Class 10,No,No,,Yes,Removable Li-Ion 1150 mAh battery,
5-way navigation button,200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 250 h,Microsoft Windows Mobile 5.0 Smartphone,Yes,Yes,MP3/AAC playerPredictive text inputOrganizer,,,,No,Mini-SIM,1.3 MP,106 g (3.74 oz),TI OMAP 850,Discontinued,Wi-Fi 802.11b,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",Up to 5 h,MiniSD,,,"2005, August",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8300.gif,"2.2 inches, 34 x 45 mm, 15.0 cm2(~30.3% screen-to-body ratio)",Qtek 8300,,"TFT, 65K colors",Class 10,107.5 x 46 x 17.5 mm (4.23 x 1.81 x 0.69 in),"32MB RAM, 64MB ROM",Proprietary,Class 10,No,No,,QCIF,Removable Li-Ion 1150 mAh battery,
No,200 MHz ARM926EJ-S,LED flash,,"Vibration; Downloadable polyphonic, MP3 ringtones",Up to 200 h,Microsoft Windows Mobile 5.0 PocketPC,Yes,2.0,,,,QWERTY,No,Mini-SIM,1.3 MP,160 g (5.64 oz),TI OMAP 850,Discontinued,Wi-Fi 802.11b/g,Yes,GSM 850 / 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Up to 4 h,miniSD,,,"2005, Q3",,GSM,Microsoft ActiveSyncPocket OfficeMP3/AAC playerPredictive text input,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-9100.gif,"2.8 inches, 42 x 57 mm, 24.3 cm2(~38.4% screen-to-body ratio)",Qtek 9100,Stylish black,"TFT resistive touchscreen, 65K colors",Class 10,109 x 58 x 23 mm (4.29 x 2.28 x 0.91 in),"64MB RAM, 128MB ROM",Proprietary,Class 10,No,No,,Yes,Removable Li-Po 1250 mAh battery,
5-way navigation button3-color LED indicatorDownloadable logos,200 MHz ARM926EJ-S,,,"Vibration; Downloadable polyphonic, MP3 ringtones, composer",Up to 140 h,Microsoft Smartphone 2003 SE,Yes,Yes,MP3/AAC playerPredictive text inputOrganizer,,,,No,Mini-SIM,VGA,106 g (3.74 oz),TI OMAP 730,Discontinued,No,Yes,GSM 900 / 1800 / 1900,"WAP 2.0/xHTML, HTML (PocketIE)",176 x 220 pixels (~128 ppi density),Up to 4 h 30 min,MiniSD,8,,"2005, Q1",,GSM,No,Qtek,https://fdn2.gsmarena.com/vv/bigpic/qtek-8100.gif,"2.2 inches, 35 x 44 mm, 15.2 cm2(~30.3% screen-to-body ratio)",Qtek 8100,Stylish black and silver,"TFT, 65K colors",Class 10,107 x 47 x 19 mm (4.21 x 1.85 x 0.75 in),32MB RAM,Proprietary,No,No,No,,Yes,Removable Li-Ion 1050 mAh battery,
