,Positioning,Single_1,4G bands,Java,Talk time,Video,Charging,_1,Video_1,WLAN,Messaging,SAR EU,GPRS,Phonebook,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,Games,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Call records,Keyboard,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Radio,Bluetooth,SAR,Features,Browser,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
"1, 2, 3, 5, 7, 20, 25, 28, 38, 41, 66, 71, 77, 78, 79, 257, 260, 261 SA/NSA/Sub6/mmWave - USA","GPS, GLONASS, GALILEO, QZSS, BDS",,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 46, 48, 66, 71",,,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR",23W wired,Stylus support,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Android 11,"USB Type-C 3.2, DisplayPort",,GSM 850 / 900 / 1800 / 1900,,"2021, September 22",,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",Qualcomm SM8350 Snapdragon 888 5G (5 nm),Adreno 660,"Available. Released 2021, October 21",No,About 1480 EUR,"12 MP, f/1.7, 27mm (wide), 1.4µm, dual pixel PDAF, OIS12 MP, f/2.4, 51mm (telephoto), 1.0µm, PDAF, OIS, 2x optical zoom16 MP, f/2.2, 13mm (ultrawide), 1.0µmTOF 3D, (depth)",,"1, 2, 3, 5, 7, 20, 25, 28, 38, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6 - International",,"Glass front (Gorilla Glass Victus), glass back (Gorilla Glass)",,Yes,UFS,,"Folded position display: 5.8 inches, AMOLED, 1344 x 1892 pixels (4:3)",Microsoft Surface Duo 2,Nano-SIM +eSIM,Microsoft,,"AMOLED, 90Hz, HDR, 800 nits (peak)",,GSM / HSPA / LTE / 5G,"8.3 inches, 204.0 cm2(~152.6% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo2.jpg,284 g (10.02 oz),,,"Glacier, Obsidian",,1892 x 2688 pixels (~401 ppi density),Corning Gorilla Glass Victus,"HSPA 42.2/5.76 Mbps, LTE (5CA) Cat20 2000/150 Mbps, 5G 6 Gbps DL","Fingerprint (side-mounted), dual accelerometer, dual gyro, dual proximity, dual compass",No,"5.1, A2DP, LE, aptX Adaptive",,"Dual-LED dual-tone flash, HDR, panorama",,Unfolded: 184.5 x 145.2 x 5.5 mmFolded: 145.2 x 92.1 x 11 mm,No,"Yes, with stereo speakers",Li-Po 4449 mAh,"12 MP, f/2.0, 24mm (wide), 1.0µm",
Stylus support,GPS,Uses main camera,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 19 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 66",,,"4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR",18W wired,"Folded position display: 5.6 inches, AMOLED, 1350 x 1800 pixels (4:3)","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),"Android 10, upgradable to Android 12",USB Type-C 3.1,,GSM 850 / 900 / 1800 / 1900,,"2020, August 12",,"128GB 6GB RAM, 256GB 6GB RAM",Qualcomm SM8150 Snapdragon 855 (7 nm),Adreno 640,"Available. Released 2020, September 10",No,About 650 EUR,,,,"HDR, panorama","Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5)",,No,,,UFS 3.0,Microsoft Surface Duo,Nano-SIM +eSIM,Microsoft,,AMOLED,,GSM / HSPA / LTE,"8.1 inches, 195.4 cm2(~144.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg,250 g (8.82 oz),,,White,,"1800 x 2700 pixels, 3:2 ratio (~401 ppi density)",Corning Gorilla Glass 5,"HSPA 42.2/5.76 Mbps, LTE (CA) Cat18 1200/150 Mbps","Fingerprint (side-mounted), dual accelerometer, dual gyro, proximity, dual compass",No,"5.0, A2DP, LE, aptX Adaptive",,"HDR, panorama",,Unfolded: 186.9 x 145.2 x 4.8 mmFolded: 145.2 x 93.3 x 9.9 mm,No,Yes,Li-Po 3577 mAh,"11 MP, f/2.0, 23mm (wide), 1.0µm, PDAF",
ClearBlack display,"GPS, GLONASS, BDS","5 MP, f/2.2","1, 3, 7, 8, 20",,Up to 16 h (2G) / Up to 13 h (3G),720p@30fps,,eMMC 4.5,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 850 / 900 / 2100,Quad-core 1.3 GHz Cortex-A7,Microsoft Windows 10,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Endurance rating 55h,"2016, February. Released 2016, February",,16GB 1GB RAM,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),Adreno 304,Discontinued,Yes,About 150 EUR,,,,,"Glass front (Gorilla Glass 3), plastic back, aluminum frame",,Yes,,,,Microsoft Lumia 650,Nano-SIMNano-SIM + Nano-SIM,Microsoft,"Contrast ratio: Infinite (nominal), 3.77(sunlight)",OLED,Photo,GSM / HSPA / LTE,"5.0 inches, 67.5 cm2(~67.1% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg,122 g (4.30 oz),,,"Black, White",,"720 x 1280 pixels, 16:9 ratio (~297 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",FM radio,"4.1, A2DP, LE",,LED flash,,142 x 70.9 x 6.9 mm (5.59 x 2.79 x 0.27 in),microSDXC (dedicated slot),Yes,"Li-Ion 2000 mAh, removable","8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",Up to 624 h (3G)
ClearBlack display,"GPS, GLONASS, BDS","5 MP, f/2.4","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40",,Up to 25 h (2G) / Up to 19 h (3G),"4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)",18W wiredWireless (Qi) (market dependent),eMMC 5.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Microsoft Windows 10,USB Type-C 3.1,Noise -91.6dB / Crosstalk -89.3dB,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Endurance rating 47h,"2015, October. Released 2015, December",Basemark OS II 2.0: 1472Basemark X: 32178,32GB 3GB RAM,Qualcomm MSM8994 Snapdragon 810 (20 nm),Adreno 430,Discontinued,Yes,About 350 EUR,,Up to 75 h,,,,,Yes,,,Microsoft Continuum support,Microsoft Lumia 950 XL Dual SIM,Nano-SIM + Nano-SIM,Microsoft,"Contrast ratio: Infinite (nominal), 3.837 (sunlight)",AMOLED,,GSM / HSPA / LTE,"5.7 inches, 89.6 cm2(~75.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,165 g (5.82 oz),,,"Black, White",Voice 74dB / Noise 75dB / Ring 84dB,"1440 x 2560 pixels, 16:9 ratio (~515 ppi density)",Corning Gorilla Glass 4,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",FM radio,"4.1, A2DP",,"Zeiss optics, triple-LED RGB flash, panorama, HDR",,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),microSDXC (dedicated slot),Yes,"Li-Ion 3340 mAh, removable","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",Up to 288 h (2G) / Up to 288 h (3G)
"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA","GPS, GLONASS, BDS","5 MP, f/2.4","1, 2, 3, 4, 5, 7, 8, 12, 20, 28, 38, 40 - EMEA",,Up to 25 h (2G) / Up to 19 h (3G),"4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)",18W wiredWireless (Qi) (market dependent),ClearBlack display,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Microsoft Windows 10,USB Type-C 3.1,Noise -91.6dB / Crosstalk -89.3dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 62h,"2015, October. Released 2015, November",Basemark OS II 2.0: 1472Basemark X: 32178,32GB 3GB RAM,Qualcomm MSM8994 Snapdragon 810 (20 nm),Adreno 430,Discontinued,Yes,About 350 EUR,,Up to 75 h,,,,,Yes,Microsoft Continuum support,,eMMC 5.0,Microsoft Lumia 950 XL,Nano-SIM,Microsoft,"Contrast ratio: Infinite (nominal), 3.837 (sunlight)",AMOLED,Photo/Video,GSM / HSPA / LTE,"5.7 inches, 88.5 cm2(~74.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,165 g (5.82 oz),,,"Black, White",Voice 74dB / Noise 75dB / Ring 84dB,"1440 x 2560 pixels, 16:9 ratio (~518 ppi density)",Corning Gorilla Glass 4,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",FM radio,"4.1, A2DP",,"Zeiss optics, triple-LED RGB flash, panorama, HDR",,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),microSDXC (dedicated slot),Yes,"Li-Ion 3340 mAh, removable","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",Up to 288 h (2G) / Up to 288 h (3G)
ClearBlack display,"GPS, GLONASS, BDS","5 MP, f/2.4","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40",,Up to 23 h (2G) / Up to 18 h (3G),"4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)",18W wiredWireless (Qi),eMMC 5.0,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Microsoft Windows 10,USB Type-C 3.1,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2015, October. Released 2015, December",,32GB 3GB RAM,Qualcomm MSM8992 Snapdragon 808 (20 nm),Adreno 418,Discontinued,Yes,About 280 EUR,,Up to 67 h,,,,,Yes,,,Microsoft Continuum support,Microsoft Lumia 950 Dual SIM,Nano-SIM + Nano-SIM,Microsoft,,AMOLED,,GSM / HSPA / LTE,"5.2 inches, 74.5 cm2(~70.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,150 g (5.29 oz),,,"Black, White",,"1440 x 2560 pixels, 16:9 ratio (~565 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",FM radio,"4.1, A2DP",,"Zeiss optics, triple-LED RGB flash, panorama, HDR",,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",Up to 288 h (2G) / Up to 288 h (3G)
"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41 - USA","GPS, GLONASS, BDS","5 MP, f/2.4","1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40 - EMEA",,Up to 23 h (2G) / Up to 18 h (3G),"4K@30fps,  stereo sound rec., 1080p@30/60fps (after SW update)",18W wiredWireless (Qi) (market dependent),ClearBlack display,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",,,,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Microsoft Windows 10,USB Type-C 3.1,Noise -91.3dB / Crosstalk -91.6dB,GSM 850 / 900 / 1800 / 1900,Endurance rating 48h,"2015, October. Released 2015, November",Basemark OS II 2.0: 1281Basemark X: 26330,32GB 3GB RAM,Qualcomm MSM8992 Snapdragon 808 (20 nm),Adreno 418,Discontinued,Yes,About 280 EUR,,Up to 67 h,,,,,Yes,Microsoft Continuum support,,eMMC 5.0,Microsoft Lumia 950,Nano-SIM,Microsoft,"Contrast ratio: Infinite (nominal), 3512 (sunlight)",AMOLED,Photo/Video,GSM / HSPA / LTE,"5.2 inches, 74.8 cm2(~70.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,150 g (5.29 oz),,,"Black, White",Voice 71dB / Noise 73dB / Ring 77dB,"1440 x 2560 pixels, 16:9 ratio (~564 ppi density)",Corning Gorilla Glass 3,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",FM radio,"4.1, A2DP",,"Zeiss optics, triple-LED RGB flash, panorama, HDR",,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),microSDXC (dedicated slot),Yes,"Li-Ion 3000 mAh, removable","20 MP, f/1.9, 26mm (wide), 1/2.4"", 1.12µm, AF, OIS",Up to 288 h (2G) / Up to 288 h (3G)
eMMC 4.5,"GPS, GLONASS, BDS","2 MP, f/2.8","1, 3, 7, 8, 20",,Up to 16 h (2G) / Up to 14 h (3G),720p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 850 / 900 / 2100,Quad-core 1.1 GHz Cortex-A7,Microsoft Windows 10,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900,Endurance rating 42h,"2015, October. Released 2015, December",,8GB 1GB RAM,Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,Discontinued,Yes,About 90 EUR,,Up to 60 h,,,,,No,,,,Microsoft Lumia 550,Nano-SIM,Microsoft,,"IPS LCD,",Photo/Video,GSM / HSPA / LTE,"4.7 inches, 59.7 cm2(~64.7% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg,141.9 (5.01 oz),,,"Black, White",,"720 x 1280 pixels, 16:9 ratio (~315 ppi density)",,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Accelerometer, proximity",FM radio,"4.1, A2DP",,LED flash,,136.1 x 67.8 x 9.9 mm (5.36 x 2.67 x 0.39 in),microSDXC (dedicated slot),Yes,"Li-Ion 2100 mAh, removable","5 MP, f/2.4, 1/4.0"", AF",Up to 672 h (2G) / Up to 672 h (3G)
ClearBlack display,"GPS, GLONASS",5 MP,,,Up to 26 h (2G) / Up to 15 h (3G),480p@30fps,,eMMC 4.5,480p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",,,,,HSDPA 900 / 2100,Quad-core 1.2 GHz Cortex-A7,Microsoft Windows Phone 8.1 with Lumia Denim,microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2015, April. Released 2015, May",,8GB 1GB RAM,Qualcomm Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 100 EUR,,Up to 81 h,,,,,No,,,,Microsoft Lumia 540 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,,IPS LCD,,GSM / HSPA,"5.0 inches, 68.9 cm2(~64.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg,152 g (5.36 oz),,,"Orange, white, black, gray, blue",,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP",,LED flash,,144 x 73.7 x 8.6 mm (5.67 x 2.90 x 0.34 in),microSDXC (dedicated slot),Yes,"Li-Ion 2200 mAh, removable","8 MP, f/2.2, 28mm (wide), 1/4.0"", AF",Up to 576 h (2G) / Up to 576 h (3G)
eMMC 4.5,"A-GPS, GLONASS",VGA,,,Up to 13 h (2G) / Up to 8 h 30 min (3G),480p@30fps,,,480p,"Wi-Fi 802.11 b/g/n, hotspot",,,,,HSDPA 900 / 2100,Dual-core 1.2 GHz Cortex-A7,"Microsoft Windows Phone 8.1, upgradable to Windows 10",microUSB 2.0,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"2015, March. Released 2015, May",,8GB 1GB RAM,Qualcomm MSM8210 Snapdragon 200 (28 nm),Adreno 302,Discontinued,Yes,About 70 EUR,,Up to 47 h,,,,,No,,,,Microsoft Lumia 430 Dual SIM,"Dual SIM (Micro-SIM, dual stand-by)",Microsoft,,"IPS LCD,",,GSM / HSPA,"4.0 inches, 44.8 cm2(~58.8% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg,127.9 g (4.52 oz),,,"Black, Orange",,"480 x 800 pixels, 5:3 ratio (~235 ppi density)",,HSPA 42.2/5.76 Mbps,"Accelerometer, proximity",FM radio,"4.0, A2DP",,,,120.5 x 63.2 x 10.6 mm (4.74 x 2.49 x 0.42 in),microSDXC (dedicated slot),Yes,"Li-Ion 1500 mAh, removable","2 MP, f/2.2, 1/5.0""",Up to 720 h (2G) / Up to 720 h (3G)
