,Positioning,Quad,Single_1,4G bands,Talk time,Video,Charging,Video_1,_1,Dual,WLAN,GPRS,3G bands,CPU,OS,USB,Audio quality,2G bands,Battery (old),Announced,Performance,Internal,Chipset,GPU,Status,3.5mm jack,Price,Triple,Music play,5G bands,Features_1,Build,NFC,_3,EDGE,_2,Model Name,SIM,Brand,Display,Type,Camera,Technology,Size,Model Image,Weight,Infrared port,Colors,Loudspeaker_1,Resolution,Protection,Speed,Sensors,Models,Radio,Bluetooth,Features,Dimensions,Card slot,Loudspeaker,Type_1,Single,Stand-by
,GPS,,8 MP,LTE,,Yes,,Yes,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Android 14,USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2024, November 27",,64GB 4GB RAM,Unisoc T606 (12 nm),Mali-G57 MP1,"Available. Released 2024, November",Unspecified,,,,,,,No,,,,Meizu mblu 21,Nano-SIM + Nano-SIM,Meizu,,"IPS LCD, 90Hz",,GSM / HSPA / LTE,"6.79 inches, 109.5 cm2",https://fdn2.gsmarena.com/vv/bigpic/meizu-mblu-21.jpg,-,,"Black, Blue, White",,720 x 1640 pixels (~264 ppi density),,"HSPA, LTE",Fingerprint (side-mounted); unspecified sensors,M2416,No,"5.0, A2DP","LED flash, panorama, HDR",-,Unspecified,Yes,4900 mAh,"13 MP, AFauxiliary lens",
,"GPS (L1+L5), BDS (B1I+B1C+B2a), GLONASS, GALILEO, QZSS",,,"1, 3, 5, 8, 28, 34, 38, 39, 40, 41",,Yes,"45W wired, QC4+, PD3.0, PPS",Yes,,"108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, PDAF2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 2100,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Flyme AIOS,USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2024, September 25",,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Adreno 710,"Available. Released 2024, September 20",No,About 210 EUR,,,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",HDR,,Unspecified,,,,Meizu Lucky 08,Nano-SIM + Nano-SIM,Meizu,,"LTPO AMOLED, 1B colors, 144Hz, HDR, 800 nits (typ), 5000 nits (peak)",,GSM / HSPA / LTE / 5G,"6.78 inches, 111.7 cm2(~88.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-lucky-08.jpg,202 g (7.13 oz),,"Black, White",,1264 x 2780 pixels (~450 ppi density),,"HSPA, LTE, 5G","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",,No,"5.1, A2DP, LE, aptX HD, aptX Adaptive, LHDC","LED flash, panorama, HDR",163 x 77.5 x 8.6 mm (6.42 x 3.05 x 0.34 in),Unspecified,"Yes, with stereo speakers",6000 mAh,"8 MP, f/2.0",
,GPS,,,LTE,,Yes,30W wired,Yes,,"64 MP, AF2 MP","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Flyme OS,USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2024, September 13",,256GB 8GB RAM,Mediatek Helio G99 (6 nm),Mali-G57 MC2,"Available. Released 2024, October",Yes,,,,,,,Yes,,,,Meizu Note 21 Pro,Nano-SIM + Nano-SIM,Meizu,,"IPS LCD, 120Hz, 550 nits",,GSM / HSPA / LTE,"6.78 inches, 111.0 cm2",https://fdn2.gsmarena.com/vv/bigpic/meizu-note-21-pro.jpg,-,,"Bay Blue, Sandstone, Marble",,"1080 x 2400 pixels, 20:9 ratio (~388 ppi density)",,"HSPA, LTE",Fingerprint (side-mounted); unspecified sensors,,No,"5.3, A2DP","LED flash, panorama, HDR",-,microSDXC,Yes,5000 mAh,13 MP,
* display resolution is not officially specified,GPS,,,LTE,,Yes,18W wired,Yes,,"50 MP, AF2 MP","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Flyme OS,USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2024, September 13",,256GB 8GB RAM,Unisoc T606 (12 nm),Mali-G57 MP1,"Available. Released 2024, October",Yes,,,,,,,No,,,,Meizu Note 21,Nano-SIM + Nano-SIM,Meizu,,"IPS LCD, 90Hz, 450 nits",,GSM / HSPA / LTE,"6.74 inches, 109.7 cm2",https://fdn2.gsmarena.com/vv/bigpic/meizu-note-21.jpg,-,,"Ivory, Diamond Black, Gulf Blue",,"720 x 1600 pixels*, 20:9 ratio (~260 ppi density)",,"HSPA, LTE",Fingerprint (side-mounted); unspecified sensors,,No,"5.3, A2DP","LED flash, panorama, HDR",-,microSDXC,Yes,6000 mAh,8 MP,
,"GPS, GALILEO, GLONASS, BDS",,,LTE,,"4K@30fps, 1080p@30fps",,1080p@30fps,,"13 MP, AF (interpolated to 50 MP)Secondary unspecified camera","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Flyme AIOS,USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2024, July 17",,"128GB 6GB RAM, 256GB 8GB RAM",Unisoc T765 (6 nm),Mali-G57 MC2,"Available. Released 2024, July",Yes,,,,SA/NSA,,,Unspecified,,,,Meizu Blue 20,Nano-SIM + Nano-SIM,Meizu,,"IPS LCD, 90Hz",,GSM / HSPA / LTE / 5G,"6.52 inches, 102.6 cm2",https://fdn2.gsmarena.com/vv/bigpic/meizu-blue-20.jpg,-,,"Black, White, Purple",,"1080 x 2400 pixels, 20:9 ratio (~404 ppi density)",,"HSPA, LTE, 5G",Fingerprint (side-mounted); unspecified sensors,,No,"5.0, A2DP","LED flash, panorama, HDR",8.3 mm thickness,microSDXC,"Yes, with stereo speakers",5010 mAh,5 MP (interpolated to 8 MP),
IP65 dust and water resistant,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC",,,"1, 3, 4, 5, 8, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","65W wired, PD3 PPS, QC4+",Yes,UFS,"50 MP, f/1.7, 24mm (wide), 1/1.56"", PDAF, OIS13 MP, f/2.4, 16mm, 122˚ (ultrawide), AF","Wi-Fi 802.11 а/b/g/n/ac/6e/7, tri-band",,HSDPA 850 / 900 / 2100,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Flyme OS,"USB Type-C 2.0, OTG",,GSM 850 / 900 / 1800 / 1900,,"2024, May 16",,"256GB 16GB RAM, 512GB 16GB RAM",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,"Available. Released 2024, May 21",No,About 330 EUR,,,"1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA",HDR,"Glass front, aluminum frame, plastic back",Yes,,,,Meizu 21 Note,Nano-SIM + Nano-SIM,Meizu,,"LTPO OLED, 1B colors, 144Hz, HDR10+, 800 nits (typ), 1600 nits (HBM), 5000 nits (peak)",,GSM / HSPA / LTE / 5G,"6.78 inches, 111.7 cm2(~89.5% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-21-note.jpg,205 g (7.23 oz),Yes,"Black, White",,1264 x 2780 pixels (~450 ppi density),,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.3, A2DP, LE, aptX HD, LHDC","Ring-LED flash, panorama, HDR",162.4 x 76.9 x 8.2 mm (6.39 x 3.03 x 0.32 in),No,"Yes, with stereo speakers",5500 mAh,"16 MP, f/2.5, (wide)",
IP68 dust/water resistant (up to 1.5m for 30 min),"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","80W wired, PD3 PPS, QC4+50W wireless10W reverse wireless",Yes,UFS 4.0,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band",,HSDPA 850 / 900 / 1900 / 2100,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"Android, Flyme","USB Type-C, OTG",,GSM 850 / 900 / 1800 / 1900,,"2024, February 29",,"256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Adreno 750,"Available. Released 2024, March 02",No,About 640 EUR,"50 MP, f/1.9, 24mm (wide), 1/1.3"", 1.2µm, PDAF, OIS10 MP, f/2.0, 72mm (periscope telephoto), PDAF, OIS, 3x optical zoom13 MP, f/2.4, 15mm, 122˚ (ultrawide)",,"1, 3, 5, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 21 Pro,Nano-SIM + Nano-SIM,Meizu,,"LTPO AMOLED, 1B colors, 120Hz, HDR10+, 600 nits (typ), 1250 nits (HBM)",,GSM / HSPA / LTE / 5G,"6.79 inches, 107.3 cm2(~87.4% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-21-pro.jpg,208 g or 214 g (7.34 oz),Yes,"Black, White, Blue, Green",,"1368 x 3192 pixels, 21:9 ratio (~512 ppi density)",Meizu Titan Glass 2.0,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",,No,"5.4, A2DP, LE","Ring-LED flash, panorama, HDR",165 x 74.4 x 8 mm (6.50 x 2.93 x 0.31 in),No,"Yes, with stereo speakers",5050 mAh,"32 MP, f/2.4, (wide)",
"IP54, dust and splash resistant","GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",,,"1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","80W wired, PD3 PPS, QC4+",Yes,UFS 4.0,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band",,HSDPA 850 / 900 / 1700(AWS) / 2100,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),"Android 13, Flyme 10.5","USB Type-C, OTG",,GSM 850 / 900 / 1800 / 1900,,"2023, November 30",,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),Adreno 750,"Available. Released 2023, November 30",No,About 440 EUR,"200 MP, f/1.7, 22mm (wide), PDAF, OIS13 MP, f/2.4, 15mm, 122˚ (ultrawide)5 MP, f/2.4, 27mm (wide)",,"1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA",HDR,,Yes,,,,Meizu 21,Nano-SIM + Nano-SIM,Meizu,,"AMOLED, 120Hz, HDR10+, 600 nits (typ), 1100 nits (HBM), 1800 nits (peak)",,GSM / HSPA / LTE / 5G,"6.55 inches, 105.3 cm2(~89.3% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-21.jpg,198 g (6.98 oz),Yes,"Black, Purple, Green, White",,"1080 x 2340 pixels, 19.5:9 ratio (~393 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.4, A2DP, LE","Ring-LED flash, panorama, HDR",156.7 x 75.3 x 7.9 mm (6.17 x 2.96 x 0.31 in),No,"Yes, with stereo speakers",4800 mAh,"32 MP, f/2.4, (wide)",
"IP54, dust and splash resistant","GPS (L1+L5), GLONASS, BDS (B1I+B1c+B2a), GALILEO, QZSS",,,"1, 2, 3, 4, 5, 7, 8, 12, 28, 34, 38, 39, 40, 41",,"8K, 4K, 1080p; gyro-EIS","67W wired, PD3 PPS, QC4+",Yes,UFS 4.0,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band",,HSDPA 800 / 850 / 900 / 1900 / 2100,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"Android 13, Flyme 10","USB Type-C, OTG",,GSM 850 / 900 / 1800 / 1900,,"2023, October 19",,"256GB 16GB RAM, 512GB 16GB RAM",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,"Available. Released 2023, October 31",No,About 400 EUR,"50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS16 MP, f/2.4, 16mm, 122˚ (ultrawide)5 MP, f/2.4",,"1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA",HDR,,Yes,,,,Meizu 20 Classic,Nano-SIM + Nano-SIM,Meizu,,"OLED, 1B colors, 144Hz, 500 nits (typ), 800 nits (HBM)",,GSM / HSPA / LTE / 5G,"6.55 inches, 103.6 cm2(~89.2% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-20classic.jpg,190 g (6.70 oz),,"Gray, Silver, Green",,"1080 x 2400 pixels, 20:9 ratio (~402 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",,No,"5.3, A2DP, LE","Ring-LED flash, panorama, HDR",157.9 x 73.5 x 8 mm (6.22 x 2.89 x 0.31 in),No,"Yes, with stereo speakers",Li-Po 4700 mAh,"32 MP, f/2.5, (wide)",
UFS 4.0,"GPS (L1+L5), GLONASS, BDS, GALILEO",,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41, 42",,"8K, 4K, 1080p; gyro-EIS","65W wired, PD PPS, QC450W wireless",Yes,Ultra Wideband (UWB) support,,"Wi-Fi 802.11 а/b/g/n/ac/6e/7, tri-band",,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),"Android 13, Flyme 10",USB Type-C,,GSM 850 / 900 / 1800 / 1900,,"2023, March 30",,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),Adreno 740,"Available. Released 2023, June 12",No,About 820 EUR,"50 MP, f/1.8, 23mm (wide), 1/1.56"", PDAF, OIS12 MP f/2.0, 50mm (telephoto), 1/2.9"", PDAF, OIS, optical zoom12 MP, f/2.2, 13mm, 122˚ (ultrawide), 1/2.55""",,"1, 3, 5, 7, 8, 28, 38, 40, 41, 66, 77, 78, 79 SA/NSA",HDR,,Yes,,,,Meizu 20 Infinity,Nano-SIM + Nano-SIM,Meizu,,"LTPO OLED, 1B colors, 120Hz, 600 nits (typ), 1800 nits (peak)",,GSM / HSPA / LTE / 5G,"6.79 inches, 107.7 cm2(~89.9% screen-to-body ratio)",https://fdn2.gsmarena.com/vv/bigpic/meizu-20-infinity.jpg,215 g (7.58 oz),,"Gray, Green, Silver",,"1368 x 3192 pixels, 21:9 ratio (~511 ppi density)",,"HSPA, LTE, 5G","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",,No,"5.3, A2DP, LE","LED flash, panorama, HDR",163.4 x 73.3 x 8.2 mm (6.43 x 2.89 x 0.32 in),No,"Yes, with stereo speakers",Li-Po 4800 mAh,"32 MP, f/2.4, (wide)",
